embs0;embs1;embs2;embs3;embs4;embs5;embs6;embs7;video_name
0.9704669386505062;0.00544210898020986;1.56573515346148e-05;0.004096706934267762;0.018114619982448593;0.00020856931643922896;1.668178751516712e-05;0.0016387169970788506;01-01-01-01-01-02-08
0.031193854883359677;0.06526891215636701;1.3980551111549503e-05;0.7219601434503587;0.033211067208306556;0.020957358311077267;0.004394007173848265;0.12300067626557086;01-01-04-01-02-01-09
0.0187320683733886;0.7263824956610404;0.010337267601996531;0.06665232821229243;0.0017214999895468358;0.08611591209354712;0.00422172868982287;0.08583669937836526;01-01-02-02-02-01-23
0.004348077495785641;0.0009198818583697407;0.0006807445702817468;0.028701979230999892;0.06457919846823451;0.21131881286962453;0.009807018628956672;0.6796442868777473;01-01-08-02-01-02-22
1.4956995428838662e-05;0.0013540659063037365;0.00025441145596832295;0.4428513442103861;0.0701903533318169;0.4686225781673247;0.010819151358609424;0.005893138574161938;01-01-06-02-02-01-08
0.0003625835291347677;0.012228751745355341;2.2520322523027218e-05;0.11432583974335213;0.033186626790117406;0.1361274229398303;0.6350364196630792;0.06870983526660779;01-01-07-02-01-02-21
1.3108630241292577e-05;0.013623503557163689;0.12712478709415848;0.006004427146805695;1.5692029323895544e-05;0.016962349596239698;6.671567031984762e-06;0.8362494603790351;01-01-08-02-02-02-05
0.0007638220066999142;0.04085095498304766;0.0024110465957485365;0.0783598889516527;0.05550112100856715;0.07284086955335525;0.010944868139761216;0.7383274287611674;01-01-05-01-01-01-09
4.8401568630697446e-05;2.3929780610292033e-06;2.8712290554438256e-08;8.694113266033826e-05;0.9964590350357695;0.00218960167518058;0.0001587000845862432;0.0010548988128209643;01-01-05-01-01-02-18
4.5405377285916586e-10;3.4299751523100396e-07;1.450588843854761e-07;0.007637422438516739;3.201781973540789e-05;0.0003020503102529717;0.9919826261626538;4.539475838743436e-05;01-01-07-02-01-01-06
0.7659396266662334;0.1108712099883404;0.0013650869290247796;0.05602722433202466;0.02388560764399779;0.01265753110353227;0.00048571017208873257;0.028768003164757847;01-01-01-01-02-02-22
2.146956539557169e-06;7.402444789741662e-06;7.603548398778654e-08;0.006897576488772816;0.055693270343428976;0.005469813746190063;0.9302523776997688;0.0016773362850261268;01-01-07-02-01-01-03
1.4350751842632608e-11;7.63044901009937e-05;0.991331174136513;0.005464680323275005;3.953088408704275e-08;7.332960343917278e-05;0.0006575457021370314;0.0023969261992999955;01-01-03-02-02-01-01
1.2888125792879677e-06;1.6556542472291502e-05;5.000965272311053e-08;0.008640849838504614;0.005436393008629669;0.0021479909130193444;0.9812626918547543;0.0024941790203879106;01-01-07-02-02-02-05
0.0018770686046381644;0.01693559590512457;1.7970718265082383e-05;0.07753841130007239;0.09310785168064041;0.05463392598590725;0.012545879788844175;0.7433432960165078;01-01-08-01-01-01-17
0.019522013191000016;0.018349769415667554;0.006153610486130598;0.09045532656200624;0.0823432649695091;0.6177272406977493;0.0032181457842922743;0.1622306288936449;01-01-06-01-01-02-13
3.065473457678756e-07;0.000349512318177245;2.4228621343062917e-05;0.01794629395099025;0.000254181010400057;0.011673030346393894;0.9532369538471035;0.016515493358246303;01-01-07-02-02-02-21
5.2613014855641275e-11;0.000770298858825826;0.9929751213630054;0.004205602137088229;2.6184852056412386e-08;0.0002603310375470833;9.497247272208433e-05;0.0016936478933462953;01-01-03-02-01-01-18
1.967955509512595e-06;5.803665340943181e-05;1.9870471574953567e-05;0.020658069700644776;0.45541374491197073;0.0004004799300718112;0.48886960349674696;0.034578226880071776;01-01-05-02-02-01-18
1.7427252423957306e-07;5.936634533599605e-05;4.08060970462584e-06;0.04973554858494331;0.0006961503585273776;0.8750868488214301;0.0009516141936740701;0.07346621681386042;01-01-06-01-01-02-18
0.16466159197838645;0.2378943654319289;0.0016988204963174379;0.48980639124196207;0.008722051870453731;0.06178670284119603;0.00012852313288555257;0.035301553006869824;01-01-04-01-01-02-08
5.394489758325486e-09;0.0036185996769728455;0.9945018908708595;0.001315488914196737;8.096713760793885e-09;3.8292635857054095e-05;1.0379281397533604e-06;0.0005246764827705668;01-01-03-01-01-02-24
0.0007411204982458701;0.032028678341588956;0.2545250228980756;0.0030114307575705005;0.0011185296592506884;0.03345518720753857;0.00011314648904736303;0.6750068841486824;01-01-03-02-02-02-23
0.5011504027641412;0.01224647677443699;0.006659116426823816;0.04319767308641701;0.04890425568790201;0.01598667417840849;0.00033066992464243463;0.3715247311572279;01-01-01-01-01-02-05
0.11137342821636163;0.000967430173133665;2.3116159709100862e-06;0.7706718736173888;0.08360822917947486;0.013646804718108354;0.0002378573718471511;0.019492065107714854;01-01-04-02-01-02-02
3.773404573775691e-12;7.966703921036459e-05;0.9987496816587246;0.0004666091628668588;1.3453022045104763e-09;3.777909691099515e-05;4.565934712669164e-05;0.0006206023460847999;01-01-03-01-01-02-06
0.005025124525929748;0.8815353617331204;0.0208517917752062;0.026542047277948545;0.0033787999748770385;0.01639314367275599;0.0003307097473492634;0.04594302129281261;01-01-02-01-02-01-06
9.507240338324001e-11;0.0018061774316237363;0.984995827549249;0.0004750616755404571;1.7775627765742388e-08;0.000615757450860435;1.4339728963073259e-06;0.012105724049129877;01-01-03-01-01-01-18
0.2139813321741204;0.0622698522932522;0.00010081447299200068;0.19676162983423182;0.42330753126343507;0.08044863092351481;0.00042619284091969254;0.022704016197534062;01-01-05-02-02-02-24
1.0938208782348736e-11;3.812793962309577e-09;1.8890009558433302e-10;0.00014318218017160683;1.592711719663301e-05;9.05374561712943e-05;0.9996762550075036;7.409422632482371e-05;01-01-07-02-01-01-17
6.561208913924061e-11;0.0005050819917823854;0.9520273292417898;0.026605007990136823;2.1649594647622423e-06;0.002443160536891408;0.009687514325688764;0.008729740888634095;01-01-03-02-01-02-08
