name	path	emotion	actor
01-01-02-01-02-02-22	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-02-01-02-02-22.wav	Calm	22
01-01-02-01-01-01-06	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-02-01-01-01-06.wav	Calm	6
01-01-05-02-01-01-16	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-05-02-01-01-16.wav	Angry	16
01-01-01-01-01-02-16	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-01-01-01-02-16.wav	Neutral	16
01-01-07-02-02-02-18	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-07-02-02-02-18.wav	Disgust	18
01-01-08-01-01-02-05	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-08-01-01-02-05.wav	Surprise	5
01-01-01-01-02-02-13	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-01-01-02-02-13.wav	Neutral	13
01-01-06-01-02-01-03	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-06-01-02-01-03.wav	Fear	3
01-01-05-02-01-02-09	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-05-02-01-02-09.wav	Angry	9
01-01-08-01-01-02-06	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-08-01-01-02-06.wav	Surprise	6
01-01-04-01-01-01-13	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-04-01-01-01-13.wav	Sad	13
01-01-06-01-02-01-09	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-06-01-02-01-09.wav	Fear	9
01-01-07-02-01-01-09	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-07-02-01-01-09.wav	Disgust	9
01-01-02-01-02-02-01	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-02-01-02-02-01.wav	Calm	1
01-01-02-02-02-01-07	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-02-02-02-01-07.wav	Calm	7
01-01-05-01-01-02-04	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-05-01-01-02-04.wav	Angry	4
01-01-04-02-01-02-10	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-04-02-01-02-10.wav	Sad	10
01-01-04-01-01-02-02	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-04-01-01-02-02.wav	Sad	2
01-01-01-01-01-02-10	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-01-01-01-02-10.wav	Neutral	10
01-01-08-02-02-01-12	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-08-02-02-01-12.wav	Surprise	12
01-01-05-02-02-02-07	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-05-02-02-02-07.wav	Angry	7
01-01-02-01-02-02-09	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-02-01-02-02-09.wav	Calm	9
01-01-06-02-01-01-04	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-06-02-01-01-04.wav	Fear	4
01-01-07-01-02-02-02	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-07-01-02-02-02.wav	Disgust	2
01-01-05-01-01-02-06	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-05-01-01-02-06.wav	Angry	6
01-01-04-02-01-02-13	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-04-02-01-02-13.wav	Sad	13
01-01-05-02-02-01-18	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-05-02-02-01-18.wav	Angry	18
01-01-06-01-02-01-02	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-06-01-02-01-02.wav	Fear	2
01-01-03-02-01-01-22	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-03-02-01-01-22.wav	Happy	22
01-01-01-01-02-02-05	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-01-01-02-02-05.wav	Neutral	5
01-01-03-01-01-02-18	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-03-01-01-02-18.wav	Happy	18
01-01-05-01-02-02-03	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-05-01-02-02-03.wav	Angry	3
01-01-08-01-01-02-02	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-08-01-01-02-02.wav	Surprise	2
01-01-08-02-02-01-22	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-08-02-02-01-22.wav	Surprise	22
01-01-08-02-01-02-06	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-08-02-01-02-06.wav	Surprise	6
01-01-01-01-01-01-18	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-01-01-01-01-18.wav	Neutral	18
01-01-03-02-02-02-16	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-03-02-02-02-16.wav	Happy	16
01-01-07-01-02-02-06	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-07-01-02-02-06.wav	Disgust	6
