name	path	emotion	actor
01-01-02-01-02-02-22	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-02-01-02-02-22.wav	Calm	22
01-01-02-01-01-01-06	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-02-01-01-01-06.wav	Calm	6
01-01-07-02-02-02-18	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-07-02-02-02-18.wav	Disgust	18
01-01-01-01-02-02-13	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-01-01-02-02-13.wav	Neutral	13
01-01-03-02-01-01-23	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-03-02-01-01-23.wav	Happy	23
01-01-06-01-02-01-03	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-06-01-02-01-03.wav	Fear	3
01-01-05-02-01-02-09	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-05-02-01-02-09.wav	Angry	9
01-01-08-01-01-02-06	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-08-01-01-02-06.wav	Surprise	6
01-01-04-01-01-01-13	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-04-01-01-01-13.wav	Sad	13
01-01-03-01-01-01-17	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-03-01-01-01-17.wav	Happy	17
01-01-06-01-02-01-09	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-06-01-02-01-09.wav	Fear	9
01-01-01-01-01-01-17	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-01-01-01-01-17.wav	Neutral	17
01-01-07-02-01-01-09	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-07-02-01-01-09.wav	Disgust	9
01-01-02-01-02-02-01	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-02-01-02-02-01.wav	Calm	1
01-01-02-02-02-01-07	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-02-02-02-01-07.wav	Calm	7
01-01-05-01-01-02-04	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-05-01-01-02-04.wav	Angry	4
01-01-04-02-01-02-10	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-04-02-01-02-10.wav	Sad	10
01-01-01-01-01-02-10	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-01-01-01-02-10.wav	Neutral	10
01-01-08-02-02-01-12	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-08-02-02-01-12.wav	Surprise	12
01-01-02-02-01-01-17	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-02-02-01-01-17.wav	Calm	17
01-01-07-01-01-02-08	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-07-01-01-02-08.wav	Disgust	8
01-01-05-02-02-02-07	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-05-02-02-02-07.wav	Angry	7
01-01-02-01-02-02-09	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-02-01-02-02-09.wav	Calm	9
01-01-04-02-02-02-08	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-04-02-02-02-08.wav	Sad	8
01-01-06-02-01-01-04	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-06-02-01-01-04.wav	Fear	4
01-01-07-01-02-02-23	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-07-01-02-02-23.wav	Disgust	23
01-01-05-01-01-02-06	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-05-01-01-02-06.wav	Angry	6
01-01-04-02-01-02-13	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-04-02-01-02-13.wav	Sad	13
01-01-05-02-02-01-18	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-05-02-02-01-18.wav	Angry	18
01-01-02-02-02-01-21	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-02-02-02-01-21.wav	Calm	21
01-01-04-01-02-01-17	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-04-01-02-01-17.wav	Sad	17
01-01-03-02-01-01-22	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-03-02-01-01-22.wav	Happy	22
01-01-03-01-01-02-18	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-03-01-01-02-18.wav	Happy	18
01-01-05-01-02-02-03	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-05-01-02-02-03.wav	Angry	3
01-01-08-02-02-01-22	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-08-02-02-01-22.wav	Surprise	22
01-01-08-02-01-02-06	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-08-02-01-02-06.wav	Surprise	6
01-01-06-01-01-02-17	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-06-01-01-02-17.wav	Fear	17
01-01-04-02-01-02-17	<RAVDESS_dir>/AV_AUDIOS_16k_mono/01-01-04-02-01-02-17.wav	Sad	17
